year,gender,name,count
2017,M,Aaden,197
2017,M,Aadhav,12
2017,F,Aadhira,11
2017,F,Aadhya,257
2017,M,Aadi,19
2017,M,Aadit,17
2017,M,Aadvik,20
2017,F,Aadya,70
2017,M,Aadyn,7
2017,M,Aahan,8
2017,F,Aahana,35
2017,M,Aahil,35
2017,M,Aaiden,43
2017,F,Aaira,5
2017,F,Aairah,20
2017,F,Aalayah,28
2017,F,Aaleyah,46
2017,F,Aalia,14
2017,F,Aaliah,5
2017,F,Aaliya,11
2017,F,Aaliyah,4175
2017,F,Aalyah,5
2017,F,Aaminah,6
2017,M,Aamir,88
2017,M,Aanav,6
2017,F,Aaniyah,10
2017,F,Aanvi,28
2017,F,Aanya,109
2017,F,Aaradhya,36
2017,F,Aaralyn,14
2017,M,Aarav,487
2017,M,Aaren,11
2017,F,Aaria,30
2017,F,Aariah,5
2017,M,Aaric,6
2017,M,Aarin,13
2017,M,Aarish,6
2017,M,Aariv,11
2017,F,Aariya,5
2017,F,Aariyah,12
2017,M,Aariz,32
2017,F,Aarna,101
2017,M,Aarnav,7
2017,F,Aarohi,30
2017,M,Aaron,7203
2017,M,Aarush,125
2017,F,Aarushi,5
2017,F,Aarvi,12
2017,F,Aarya,157
2017,M,Aaryan,85
2017,F,Aaryn,14
2017,M,Aaryn,7
2017,F,Aashi,10
2017,F,Aashna,7
2017,F,Aashvi,8
2017,M,Aasim,44
2017,M,Aasir,15
2017,F,Aasiyah,9
2017,F,Aavya,44
2017,M,Aayan,139
2017,M,Aayansh,7
2017,F,Aayat,28
2017,M,Aayden,42
2017,M,Aayush,16
2017,F,Abagail,16
2017,M,Abbas,37
2017,F,Abbey,29
2017,F,Abbie,69
2017,F,Abbigail,125
2017,M,Abbott,16
2017,F,Abby,668
2017,F,Abbygail,35
2017,M,Abdallah,26
2017,M,Abdel,14
2017,M,Abdelrahman,6
2017,M,Abdias,16
2017,M,Abdiaziz,7
2017,M,Abdiel,330
2017,M,Abdinasir,5
2017,M,Abdirahman,86
2017,M,Abdoul,11
2017,M,Abdoulaye,23
2017,M,Abdul,99
2017,M,Abdulahi,10
2017,M,Abdulaziz,38
2017,M,Abdullah,284
2017,M,Abdullahi,55
2017,M,Abdulrahman,101
2017,M,Abe,30
2017,M,Abel,2691
2017,M,Abelardo,49
2017,F,Abella,42
2017,M,Abhay,17
2017,M,Abhinav,21
2017,M,Abhiram,34
2017,M,Abiel,37
2017,F,Abigael,17
2017,F,Abigaelle,10
2017,F,Abigail,10624
2017,F,Abigale,43
2017,F,Abigayle,16
2017,F,Abilene,28
2017,M,Abimael,25
2017,M,Abir,13
2017,F,Abisai,7
2017,M,Abisai,21
2017,M,Able,5
2017,M,Abner,124
2017,M,Aboubacar,9
2017,M,Abraham,2309
2017,M,Abram,710
2017,M,Abran,10
2017,F,Abrar,15
2017,M,Abrar,14
2017,F,Abree,14
2017,M,Abrian,6
2017,F,Abriana,19
2017,F,Abrianna,23
2017,F,Abriella,71
2017,F,Abrielle,204
2017,F,Abril,253
2017,F,Abrish,10
2017,M,Abubakar,29
2017,M,Abubakr,13
2017,F,Abygail,36
2017,F,Acacia,24
2017,M,Ace,1209
2017,F,Acelynn,12
2017,M,Acen,7
2017,M,Aceson,16
2017,M,Achilles,170
2017,F,Ada,999
2017,F,Adabelle,5
2017,M,Adael,7
2017,F,Adaeze,6
2017,F,Adah,36
2017,M,Adair,21
2017,M,Adalberto,12
2017,F,Adalee,138
2017,F,Adaleigh,92
2017,F,Adalena,10
2017,F,Adalene,5
2017,F,Adali,16
2017,F,Adalia,34
2017,F,Adalie,107
2017,F,Adalina,86
2017,F,Adalind,57
2017,F,Adaline,1654
2017,F,Adaly,19
2017,F,Adalyn,2191
2017,F,Adalyne,35
2017,F,Adalynn,2656
2017,F,Adalynne,43
2017,M,Adam,4916
2017,F,Adama,9
2017,M,Adama,8
2017,F,Adamari,19
2017,F,Adamaris,27
2017,F,Adamary,6
2017,M,Adan,705
2017,F,Adara,26
2017,F,Adaya,14
2017,F,Addalyn,209
2017,F,Addalynn,152
2017,F,Addeline,5
2017,F,Addelyn,150
2017,F,Addelynn,27
2017,F,Addie,139
2017,F,Addilyn,813
2017,F,Addilynn,387
2017,F,Addisen,5
2017,F,Addison,5627
